,pid,model,align_condition,lr_sup,lr_unsup,lr,lam_a_cyc,lam_dist,hidden_size,alpha,temp,s,loss
109,_310alyysu,euclidean,misaligned,,,0.1258925411794167,,,100,0.7937289928881893,1.1,30,52.37868418357935
110,_310alyysu,discrete,misaligned,,,0.001,,,100,0.2081038917866646,1.0,30,52.616422355711855
111,_35oyofn9h,cycle_and_distribution,aligned,,,0.251188643150958,1.1440037735848834,0.0047325989505951,100,0.988211608759617,0.3,30,17.045916518556897
112,_35oyofn9h,euclidean,aligned,,,0.251188643150958,,,100,0.90755841335369,0.4,30,31.86234073850114
113,_35oyofn9h,discrete,aligned,,,0.001,,,100,0.6387221692221988,1.4,30,53.59648570035346
114,_3f44tcr3n,cycle_and_distribution,aligned,,,0.0316227766016837,1.866013724845009,0.0018028292755247,100,0.9775456663955993,0.2,30,23.82659508195023
115,_3f44tcr3n,euclidean,aligned,,,0.251188643150958,,,100,0.8953349339284749,0.3,30,36.4327132140558
116,_3f44tcr3n,discrete,aligned,,,0.0079432823472428,,,100,0.5089108989960129,0.8,30,50.498226161177264
117,_3h9imewnv,cycle_and_distribution,misaligned,,,0.0630957344480193,0.7896311782605713,0.0030964979390343,100,0.5868240074294178,0.3,30,47.87952548801693
118,_3h9imewnv,euclidean,misaligned,,,0.001,,,100,0.7904709361492435,0.5,30,51.84224859479753
119,_3h9imewnv,discrete,misaligned,,,0.001,,,100,0.3780296045524002,1.0,30,49.60395313963778
120,_3i9mzjyop,cycle_and_distribution,aligned,,,0.0079432823472428,1.8160216462726435,0.0058024082089866,100,0.9114535665791506,0.2,30,31.65466093211563
121,_3i9mzjyop,euclidean,aligned,,,0.0316227766016837,,,100,0.8438994821912345,0.4,30,38.69891267727729
122,_3i9mzjyop,discrete,aligned,,,0.0019952623149688,,,100,0.6281074887240297,0.7000000000000001,30,50.428744462757855
123,_3rtym0b3e,cycle_and_distribution,misaligned,,,0.1258925411794167,1.6821892788098962,0.0055907439503732,100,0.4591878818546303,1.0,30,53.19267564513067
124,_3rtym0b3e,euclidean,misaligned,,,0.0019952623149688,,,100,0.6050760239309414,0.2,30,52.43923031059911
125,_3rtym0b3e,discrete,misaligned,,,0.0019952623149688,,,100,0.7780034375049171,1.2000000000000002,30,53.45070026189721
126,_3z2ps76lx,cycle_and_distribution,aligned,,,0.0316227766016837,1.9033138528303284,0.0017574664757781,100,0.8758237211174407,0.4,30,38.22251258365996
127,_3z2ps76lx,euclidean,aligned,,,0.0158489319246111,,,100,0.8804664883561389,0.4,30,45.63047751169696
128,_3z2ps76lx,discrete,aligned,,,0.0039810717055349,,,100,0.1832671980741487,1.0,30,50.670486809118565
129,_408nj8v4z,cycle_and_distribution,aligned,,,0.0630957344480193,1.3582376743968276,0.0083919277300928,100,0.6870765747110481,0.2,30,17.85173326742572
130,_408nj8v4z,euclidean,aligned,,,0.0630957344480193,,,100,0.95364226280883,0.3,30,29.79367035436493
131,_408nj8v4z,discrete,aligned,,,0.0019952623149688,,,100,0.2955774337389943,1.5,30,52.62744935251063
132,_40ahez44j,cycle_and_distribution,aligned,,,0.0079432823472428,1.971016619235483,0.0047573267396089,100,0.3504212742084395,1.3,30,52.95916492439894
133,_40ahez44j,euclidean,aligned,,,0.0019952623149688,,,100,0.3474645743961704,0.5,30,52.93286526645779
134,_40ahez44j,discrete,aligned,,,0.001,,,100,0.1496525546685371,0.7000000000000001,30,48.19340255484534
135,_468qeaats,cycle_and_distribution,aligned,,,0.0630957344480193,1.2707852240145414,0.0053339556112514,100,0.9258956125822349,0.3,30,17.839246511814206
136,_468qeaats,euclidean,aligned,,,0.0158489319246111,,,100,0.9706641226977594,0.3,30,31.18385858098759
137,_468qeaats,discrete,aligned,,,0.0019952623149688,,,100,0.7511650482339899,1.1,30,51.95986444487131
138,_47j4tf6g3,cycle_and_distribution,misaligned,,,0.0630957344480193,0.7517354513778923,0.0085669918979124,100,0.4068270033537327,0.3,30,46.36215334693348
139,_47j4tf6g3,euclidean,misaligned,,,0.1258925411794167,,,100,0.4691082736675808,0.7000000000000001,30,50.536421822829006
